Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,Volume moyen,Fiabilite,detection_time
3328.HK,ACHAT,5.25,7.420000076293945,Hausse,51.69,Financial Services,,0.0,2025-07-18 10:40:32
3988.HK,ACHAT,5.25,4.690000057220459,Hausse,52.1,Financial Services,,100.0,2025-07-18 10:40:32
AEM,ACHAT,8.25,119.35749816894533,Hausse,50.9,Basic Materials,2478605.07,0.0,2025-07-18 10:40:32
AGI,VENTE,-1.5,24.9950008392334,Baisse,36.7,Basic Materials,,100.0,2025-07-18 14:39:28
AGI,VENTE,-1.5,24.959999084472656,Baisse,36.51,Basic Materials,,100.0,2025-07-18 14:06:59
AGI,VENTE,-1.5,24.934999465942383,Baisse,36.37,Basic Materials,,100.0,2025-07-18 13:56:14
AGI,VENTE,-3.0,24.84499931335449,Baisse,35.88,Basic Materials,,0.0,2025-07-18 11:22:05
AGI,VENTE,-1.5,25.059999465942383,Baisse,37.07,Basic Materials,,0.0,2025-07-18 10:40:32
AGI.TO,VENTE,-1.5,34.31999969482422,Baisse,37.99,Basic Materials,,100.0,2025-07-18 14:39:28
AGI.TO,VENTE,-1.5,34.2599983215332,Baisse,37.75,Basic Materials,,100.0,2025-07-18 14:06:59
AGI.TO,VENTE,-1.5,34.220001220703125,Baisse,37.59,Basic Materials,,100.0,2025-07-18 13:56:14
AGI.TO,VENTE,-3.0,34.09000015258789,Baisse,37.06,Basic Materials,,0.0,2025-07-18 11:22:05
AGI.TO,VENTE,-3.0,34.38999938964844,Baisse,38.28,Basic Materials,,0.0,2025-07-18 10:40:32
AGM,VENTE,-3.25,174.9550018310547,Baisse,37.28,Financial Services,,0.0,2025-07-18 13:08:59
AGM,VENTE,-3.25,175.14999389648438,Baisse,37.42,Financial Services,,0.0,2025-07-18 12:51:31
AGM,VENTE,-3.25,175.0500030517578,Baisse,37.35,Financial Services,,0.0,2025-07-18 11:22:05
AGS,VENTE,-4.5,,Baisse,79.78,Consumer Cyclical,,0.0,2025-07-18 11:22:05
ALB,VENTE,-1.0,,Baisse,70.63,Basic Materials,,0.0,2025-07-18 11:13:25
AMD,VENTE,-1.0,,Baisse,77.19,Technology,,0.0,2025-07-18 11:15:29
AMT,ACHAT,7.0,224.52999877929688,Hausse,58.99,Real Estate,1957288.3,60.0,2025-07-18 12:40:37
AMT,ACHAT,5.7,224.21499633789065,Hausse,58.6,Real Estate,1953376.4,0.0,2025-07-18 11:15:29
AU,ACHAT,6.75,47.88999938964844,Hausse,55.76,Basic Materials,4006574.73,0.0,2025-07-18 11:22:05
BAYN.DE,ACHAT,5.25,27.81999969482422,Hausse,60.89,Healthcare,2745193.57,0.0,2025-07-18 10:40:32
BNP.PA,ACHAT,7.0,77.83999633789062,Hausse,55.66,Financial Services,2351283.0,100.0,2025-07-18 14:39:28
BNP.PA,ACHAT,7.0,77.75,Hausse,55.39,Financial Services,2301861.63,100.0,2025-07-18 11:22:05
BNP.PA,ACHAT,5.7,77.63999938964844,Hausse,55.07,Financial Services,2301265.17,100.0,2025-07-18 11:15:29
BNP.PA,ACHAT,6.5,77.55000305175781,Hausse,54.8,Financial Services,2296883.2,100.0,2025-07-18 10:40:32
BRK-B,ACHAT,6.75,475.7999877929688,Baisse,40.56,Financial Services,4471828.5,0.0,2025-07-18 11:22:05
BRK-B,ACHAT,7.25,476.8450012207031,Baisse,41.69,Financial Services,4462601.07,0.0,2025-07-18 10:40:32
BYDDF,VENTE,-1.5,16.270000457763672,Baisse,25.39,Consumer Cyclical,310606.03,0.0,2025-07-18 11:15:29
CSCO,ACHAT,5.2,68.3550033569336,Hausse,59.88,Technology,20417514.07,0.0,2025-07-18 11:15:29
CSX,ACHAT,5.7,34.525001525878906,Hausse,66.4,Industrials,14271537.8,0.0,2025-07-18 11:15:29
DBK.DE,ACHAT,5.75,25.854999542236328,Hausse,58.98,Financial Services,6100367.73,66.66666666666666,2025-07-18 13:08:59
DBK.DE,ACHAT,5.25,25.780000686645508,Hausse,58.22,Financial Services,6046525.03,0.0,2025-07-18 10:40:32
DIS,ACHAT,5.2,121.05999755859376,Hausse,58.44,Communication Services,8919200.93,0.0,2025-07-18 11:15:29
ENR.DE,ACHAT,5.2,93.55999755859376,Hausse,57.6,Industrials,1729499.8,0.0,2025-07-18 11:15:29
ETOR,VENTE,-1.0,56.810001373291016,Baisse,46.59,Financial Services,,0.0,2025-07-18 14:39:28
ETOR,VENTE,-1.0,57.098899841308594,Baisse,47.07,Financial Services,,0.0,2025-07-18 14:06:59
ETOR,VENTE,-1.0,57.04499816894531,Baisse,46.98,Financial Services,,0.0,2025-07-18 13:56:14
ETOR,VENTE,-1.0,57.07500076293945,Baisse,47.03,Financial Services,,0.0,2025-07-18 13:50:38
ETOR,VENTE,-1.0,57.375,Baisse,47.55,Financial Services,,0.0,2025-07-18 13:08:59
ETOR,VENTE,-1.0,57.595001220703125,Baisse,47.93,Financial Services,,0.0,2025-07-18 12:51:31
ETOR,ACHAT,7.75,60.3849983215332,Hausse,49.46,Financial Services,1676283.8,0.0,2025-07-18 10:40:32
FAST,VENTE,-0.75,45.94499969482422,Hausse,79.47,Industrials,,100.0,2025-07-18 10:40:32
FNV,VENTE,-1.5,154.77000427246094,Baisse,36.25,Basic Materials,,0.0,2025-07-18 14:39:28
FNV,VENTE,-1.5,154.8300018310547,Baisse,36.39,Basic Materials,,0.0,2025-07-18 14:06:59
FNV.TO,VENTE,-1.5,212.50999450683594,Baisse,33.56,Basic Materials,,100.0,2025-07-18 14:39:28
FNV.TO,VENTE,-1.5,212.7100067138672,Baisse,33.96,Basic Materials,,100.0,2025-07-18 14:06:59
FNV.TO,VENTE,-1.5,212.4900054931641,Baisse,33.54,Basic Materials,,100.0,2025-07-18 13:56:14
